bas1,h,m,s,star,az,el,delay1,delay2
D/S1W2,5,51,16.0,#41295,85.503434261,29.066354681,36.116032412,-1.7433251
D/S1W2,6,17,46.0,#41295,89.081783274,34.551960412,54.634885415,9.091828958
D/S1W2,6,17,49.0,#41295,89.088719323,34.562322665,54.669756587,9.113531804
D/S1W2,6,17,49.0,#41295,89.088719323,34.562322665,54.669756587,9.113531804
D/S1W2,6,18,4.0,#41295,89.123411896,34.614134239,54.844045273,9.22214788
D/S1W2,6,30,13.0,#41756,90.253333763,36.91046769,60.926789035,13.717818723
D/S1W2,6,31,10.0,#41756,90.388114848,37.107372514,61.584370804,14.148184301
D/S1W2,6,31,20.0,#41756,90.411797403,37.141916926,61.699701028,14.223917009
D/S1W2,6,31,43.0,#41756,90.466309281,37.221368676,61.964923421,14.398128536
D/S1W2,6,44,38.0,#41295,92.948260882,40.118769305,73.229478224,21.383352942
D/S1W2,6,44,43.0,#41295,92.960761308,40.136018974,73.286595814,21.42335406
D/S1W2,6,44,48.0,#41295,92.973265366,40.153268449,73.343731223,21.463361596
D/S1W2,6,45,57.0,#41295,93.146195089,40.391290848,74.131533872,22.016591556
D/S1W2,7,23,19.0,#42399,76.871896159,52.778136989,38.280219785,33.796151285
D/S1W2,7,23,19.0,#42399,76.871896159,52.778136989,38.280227967,33.796151285
D/S1W2,7,23,20.0,#42399,76.873213263,52.781501239,38.289827085,33.803878861
D/S1W2,7,23,21.0,#42399,76.874530341,52.784865505,38.299425941,33.811606737
D/S1W2,7,34,59.0,#50033,80.436791043,47.774798335,39.884957629,25.157737167
D/S1W2,7,35,0.0,#50033,80.438508675,47.77820486,39.895204387,25.165369802
D/S1W2,7,35,3.0,#50033,80.443661796,47.788424542,39.925993428,25.188269923
D/S1W2,7,35,6.0,#50033,80.448815249,47.798644379,39.956768074,25.211173355
D/S1W2,7,44,27.0,#42399,78.523772349,57.057791867,50.229422357,43.826336919
D/S1W2,7,44,27.0,#42399,78.523772349,57.057791867,50.229411632,43.826336919
D/S1W2,7,44,28.0,#42399,78.525061621,57.061177334,50.238640821,43.834419272
D/S1W2,7,44,29.0,#42399,78.526350873,57.064562818,50.247875184,43.842501884
D/S1W2,7,55,31.0,#50033,82.587616507,51.983842617,52.359322584,34.82708765
D/S1W2,7,55,32.0,#50033,82.589396442,51.987268279,52.36929613,34.835142254
D/S1W2,7,55,34.0,#50033,82.59295651,51.994119651,52.389242428,34.851246926
D/S1W2,7,55,34.0,#50033,82.59295651,51.994119651,52.389242428,34.851246926
D/S1W2,8,6,10.0,#42399,80.18824763,61.481470302,61.973586882,54.555809218
D/S1W2,8,6,11.0,#42399,80.189514222,61.484874306,61.982364909,54.564184189
D/S1W2,8,6,11.0,#42399,80.189514222,61.484874306,61.982356719,54.564184189
